course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
5951,Henry County Country Club,New Castle,Kentucky,Hwy 55,40050,-85.16967679999999,38.4334003,18,Semi-Private,year round,1,12,72,6570,124,70.70,72,6276,121,69.50,70,4759,114,67.40
5954,Connemara Golf Links,Nicholasville,Kentucky,2327 Lexington Rd,40356,-84.5561484,37.9268048,18,Public,year round,1,12,71,6513,115,71.10,71,6029,111,69.50,71,5187,110,69.70
5955,Lone Oak Country Club,Nicholasville,Kentucky,Club Ln,40356,-84.5948169,37.88999,18,Private,year round,1,12,72,6473,119,69.80,72,6182,116,68.90,72,5506,118,70.70
5956,"Champions Golf Club, The",Nicholasville,Kentucky,20 Ave of Champions,40356,-84.6301283,37.9751597,18,Private,year round,1,12,72,7081,137,74.70,72,6583,133,72.50,72,5255,125,71.10
5961,Owensboro Country Club,Owensboro,Kentucky,400 E Byers Ave,42303,-87.10756959999999,37.7399765,18,Private,year round,1,12,72,6518,122,70.60,72,6212,120,69.30,72,5317,120,70.80
5962,"Summit Country Club, The",Owensboro,Kentucky,6501 Summit Dr,42303,-86.9990017,37.8048526,18,Semi-Private,year round,1,12,72,6587,128,71.30,72,6098,124,69.00,72,4882,117,67.60
5963,Windridge Country Club,Owensboro,Kentucky,5044 Millers Mill Rd,42303,-87.03204699999999,37.728033,18,Private,year round,1,12,71,6050,127,69.40,70,5584,123,67.30,73,4883,121,68.30
5964,Ben Hawes at Ben Hawes State Park,Owensboro,Kentucky,400 Boothfield Rd,42301,-87.1882613,37.7968342,18,Public,year round,1,12,71,6632,118,71.00,71,6372,116,70.10,76,5371,115,70.00
5966,Country Club of Paducah,Paducah,Kentucky,6500 Turnberry Dr,42001,-88.70172439999999,37.0496536,18,Private,year round,1,12,72,6915,134,74.40,72,6426,129,72.30,72,5229,123,71.40
5968,Rolling Hills Country Club,Paducah,Kentucky,700 Lake View Dr,42003,-88.64989349999999,37.0376658,18,Private,year round,1,12,72,6395,128,70.70,72,6175,126,69.40,74,5052,120,68.70
5970,Paintsville Country Club,Paintsville,Kentucky,2960 Country Club Rd,41240,-82.7762992,37.8047662,18,Semi-Private,year round,1,12,70,6048,110,67.60,70,5501,106,65.40,74,4769,108,67.00
5972,Houston Oaks Golf Course,Paris,Kentucky,4285 Lexington Rd,40361,-84.289688,38.18401070000001,18,Semi-Private,year round,1,12,72,6842,127,73.90,72,6446,122,71.80,72,5079,114,69.30
5976,Best Western Park Mammoth Resort,Park City,Kentucky,US 31 W,42160,-86.04644280000001,37.0941305,18,Resort,year round,1,12,70,6073,114,68.00,70,5718,111,66.40,74,5299,114,69.00
5977,Diamond Caverns Resort & Golf Club,Park City,Kentucky,660 Doyle Rd,42160,-86.0484699,37.1097569,18,Resort,year round,1,12,70,5346,109,65.40,70,4983,107,64.30,70,3941,102,63.40
5980,Mountain Pub-Links Golf Course,Pikeville,Kentucky,26 Hurt Branch Rd,41501,-82.5696856,37.52262690000001,18,Public,year round,1,12,71,5959,114,69.00,71,5486,110,68.00,71,4732,111,66.50
5982,Princeton Golf & Country Club,Princeton,Kentucky,Old Eddieville Rd,42445,-88.080301,37.09449710000001,18,Private,year round,1,12,72,6562,127,71.00,72,6012,123,69.00,72,5041,113,64.20
5984,Nevel Meade Golf Club,Prospect,Kentucky,3123 Nevel Meade Dr,40059,-85.55933879999999,38.3779211,18,Public,year round,1,12,72,6956,122,72.20,72,6557,118,69.80,72,5616,117,70.40
5985,Hunting Creek Country Club,Prospect,Kentucky,6817 Fox Croft Dr,40059,-85.60477829999999,38.3450329,18,Private,year round,1,12,72,6923,133,74.00,72,6679,131,72.90,72,5715,128,73.50
5986,Glen Oaks Country Club,Prospect,Kentucky,10601 Worthington Ln,40059,-85.5552189,38.3332229,18,Private,year round,1,12,72,6770,130,71.60,72,6363,125,69.40,72,5292,122,70.10
5989,Arlington Golf Center,Richmond,Kentucky,1510 Lexington Rd,40475,-84.3122777,37.7601225,18,Private,year round,1,12,72,6638,125,71.50,72,6193,121,69.50,72,5142,116,68.50
5991,Gibson Bay Golf Course,Richmond,Kentucky,2000 Gibson Bay Dr,40475,-84.2594208,37.7359283,18,Public,year round,1,12,72,7113,128,74.10,72,6508,122,71.30,72,4869,115,69.10
5992,Lakewood Country Club,Russell Springs,Kentucky,4214 Hwy 379,42642,-85.1192417,37.011952,18,Semi-Private,year round,1,12,70,6052,117,67.70,70,5636,115,66.70,70,4760,113,67.50
5997,Weissinger Hills Golf Course,Shelbyville,Kentucky,2240 Mount Eden Rd,40065,-85.21665220000001,38.17934899999999,18,Public,year round,1,12,72,6534,118,70.80,72,6206,115,69.30,73,5165,112,69.00
5998,Shelbyville Country Club,Shelbyville,Kentucky,Smithfield Rd,40065,-85.2347221,38.2184732,18,Semi-Private,year round,1,12,72,6331,122,70.20,72,6141,120,69.30,73,5231,118,69.70
5999,Maplehurst Golf Course,Shepherdsville,Kentucky,700 Bells Mill Rd,40165,-85.6732658,38.041261,18,Public,Open: 3/01 Closed: 10/31,3,10,70,6065,104,67.00,70,5831,102,66.30,70,5165,102,64.00
6004,Eagle's Nest Country Club,Somerset,Kentucky,N Hwy 39,42501,-84.607379,37.0996169,18,Semi-Private,year round,1,12,71,6404,123,70.80,71,6224,122,70.10,72,5118,118,69.90
6005,Lincoln Homestead State Park,Springfield,Kentucky,5079 Lincoln Park Rd,40069,-85.214021,37.7607172,18,Public,year round,1,12,71,6359,119,70.70,71,6090,118,69.80,73,5472,118,70.80
