course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,phone,architect,year_built,guest_policy,credit_card,range,rental_club,pro_in_House,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available
637,Camden Country Club,Camden,Arkansas,1915 W Washington Ave,71701,-92.8657909,33.5858943,18,Private,year round,1,12,70,6175,110,68.60,70,5938,108,67.70,70,5263,116,70.60,(870) 836-8414,,1928,Reciprocal,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
639,South at Cherokee Village,Cherokee Village,Arkansas,Laguna Dr,72525,-91.5952205,36.288244,18,Semi-Private,year round,1,12,72,7058,128,73.50,72,6515,123,71.20,72,5270,116,70.40,(870) 257-3430,Ed Ault,1974,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,No,Yes
640,North at Cherokee Village,Cherokee Village,Arkansas,Laguna Dr,72525,-91.5952205,36.288244,18,Semi-Private,year round,1,12,72,6687,120,71.70,72,6072,114,68.90,72,5146,114,69.50,(870) 257-3430,John Cooper,1963,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,No,Yes
643,Centennial Valley Golf Course,Conway,Arkansas,1600 Centennial Club Dr,72032,-92.50138659999999,35.1020098,18,Private,year round,1,12,72,7103,131,73.40,72,6226,125,69.90,72,4605,112,67.10,(501) 513-2522,Lindy Lindsey,1998,Reciprocal,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
648,Chamberlyne Country Club,Danville,Arkansas,Hwy 27 Intersection 154,72833,-93.3934017,35.0539983,18,Private,year round,1,12,72,7047,125,72.90,72,6638,121,70.60,72,6229,116,68.30,(501) 495-4110,,1997,Closed,"VISA, MasterCard Welcomed",Yes,No,Yes,No,$,$$,Yes,Yes
649,Bay Ridge Boat & Golf Club,Dardanelle,Arkansas,Bay Ridge Rd,72834,-93.2075334,35.2556793,18,Semi-Private,year round,1,12,72,6289,123,70.10,72,5802,118,67.50,72,4827,118,67.90,(501) 229-4162,,1969,Open,None,Yes,Yes,Yes,No,$,$,No,Yes
650,DeQueen Country Club,De Queen,Arkansas,Route 3 Hwy 70-71,71832,-91.8318334,35.20105,9,Private,year round,1,12,36,3172,120,34.40,36,3067,118,33.90,36,2410,110,32.60,(870) 642-8800,,1926,Reciprocal,None,Yes,No,No,No,$,$,No,Yes
652,Diamond Hills Country Club,Diamond City,Arkansas,Hwy 7 S,72630,-92.9201119,36.4645075,18,Public,year round,1,12,69,6311,111,69.70,69,6017,109,68.30,72,5491,110,71.10,(870) 422-7613,,1972,Open,None,Yes,Yes,No,No,$,$,No,Yes
653,El Dorado Golf & Country Club,El Dorado,Arkansas,101 Shady Side Dr,71730,-92.6609713,33.2392704,18,Private,year round,1,12,71,6449,116,70.20,71,6143,114,68.90,73,5427,110,69.80,(870) 863-7380,Herman Hackbarth,1927,Reciprocal,"VISA, MasterCard Welcomed",No,Yes,Yes,No,$,$,No,Yes
654,Mountain Ranch Golf Club at Fairfield Bay,Fairfield Bay,Arkansas,820 Lost Creek Pkwy,72088,-92.28827199999999,35.6112397,18,Resort,year round,1,12,72,6780,140,72.80,72,6280,135,70.60,72,5325,133,71.40,(501) 884-3400,Ed Ault,1982,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,Yes,$,$,Yes,Included in fee
655,Indian Hills Golf Course at Fairfield Bay,Fairfield Bay,Arkansas,1008 Snead Dr,72088,-92.2500699,35.6235854,18,Private,year round,1,12,71,6442,127,71.90,71,5734,126,68.70,70,4869,118,69.30,(501) 884-3852,Ed Ault,1983,Closed,"VISA, MasterCard, Amex, Discover Welcomed",No,Yes,Yes,No,$,$,Yes,Yes
656,Stonebridge Meadows Golf Club,Fayetteville,Arkansas,3495 E Goff Farms Rd,72701,-94.1122876,36.04472579999999,18,Public,year round,1,12,72,7150,138,74.80,72,6605,133,72.30,72,5225,128,70.70,(501) 571-3673,Randy Heckenkemper,1997,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Included in fee
657,Fayetteville Country Club,Fayetteville,Arkansas,3335 Country Club Dr,72701,-94.1576149,36.0292125,18,Private,year round,1,12,70,6208,132,69.60,70,5771,128,67.70,71,4822,120,67.20,(501) 442-5112,,1927,Reciprocal,None,Yes,Yes,Yes,No,$,$,No,Yes
658,Paradise Valley,Fayetteville,Arkansas,3728 Old Missouri Rd,72703,-94.126941,36.11743,18,Private,year round,1,12,70,6805,131,73.00,70,6169,125,70.10,70,4614,112,63.30,(501) 521-5841,Lawrence Hughes,1957,Closed,"VISA, MasterCard Welcomed",Yes,No,Yes,No,$,$,No,Yes
661,Forrest City Country Club,Forrest City,Arkansas,922 E Cross St,72335,-90.7799398,35.0079593,18,Private,year round,1,12,71,6054,110,67.20,71,5767,107,65.50,72,4800,103,61.10,(870) 633-3380,,1940,Reciprocal,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,No,Yes
662,Magnolia/Silo at Ben Geren Regional Park Golf Course,Fort Smith,Arkansas,7200 S Zero St,72903,-94.355611,35.325667,18,Public,year round,1,12,72,6840,114,71.70,72,6459,110,69.70,74,5347,111,69.40,(501) 646-5301,Marvin Ferguson,1970,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
663,Willow/Silo at Ben Geren Regional Park Golf Course,Fort Smith,Arkansas,7200 S Zero St,72903,-94.355611,35.325667,18,Public,year round,1,12,72,6812,118,71.10,72,6411,114,69.30,73,5126,112,68.50,(501) 646-5301,Marvin Ferguson,1970,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
665,Magnolia/Willow at Ben Geren Regional Park Golf Course,Fort Smith,Arkansas,7200 S Zero St,72903,-94.355611,35.325667,18,Public,year round,1,12,72,6732,114,71.30,72,6320,111,69.60,73,5023,109,67.90,(501) 646-5301,Marvin Ferguson,1970,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
666,Fianna Hills Country Club,Fort Smith,Arkansas,1 Essex Pl,72908,-94.4133699,35.290419,18,Private,year round,1,12,72,7043,131,74.20,72,6684,127,72.40,73,5360,116,66.70,(501) 646-7861,James L. Holmes,1973,Reciprocal,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,No,Yes
668,Hardscrabble Country Club,Fort Smith,Arkansas,5211 S Cliff Dr,72903,-94.3612055,35.3579993,18,Private,year round,1,12,70,6619,130,72.90,70,6301,125,70.30,72,4999,114,70.70,(501) 782-7211,Herman Hackbarth,1926,Reciprocal,"VISA, MasterCard Welcomed",Yes,No,Yes,No,$$,$$,Yes,Yes
669,Glenwood Country Club,Glenwood,Arkansas,US 70 E,71943,-93.5503114,34.3217112,18,Public,year round,1,12,72,6550,128,70.80,72,5941,122,68.00,72,5076,114,64.10,(870) 356-4422,Bobby McGee,1994,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,No,No,$,$,Yes,Yes
671,Vache Grasse Country Club,Greenwood,Arkansas,E Hwy 10 Country Club Rd,72936,-94.2245311,35.2030344,18,Semi-Private,year round,1,12,72,6418,114,70.50,72,6254,112,69.50,72,4862,113,67.40,(501) 996-4191,Bill Martin,1969,Open,None,Yes,No,No,No,$,$,Yes,Yes
673,Harrison Country Club,Harrison,Arkansas,N Hwy 62-65,72601,-93.1276678,36.2604241,18,Semi-Private,year round,1,12,70,6066,121,69.30,70,5743,118,68.10,72,4943,122,69.70,(870) 741-4947,,1927,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
676,Red Apple Inn & Country Club,Heber Springs,Arkansas,325 Club Dr,72543,-92.1090284,35.4967441,18,Resort,year round,1,12,71,6431,128,71.50,71,6006,125,69.50,71,5137,117,70.20,(501) 362-3131,Gary Panks,1981,Closed,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,Yes,$,$,Yes,Yes
679,Eighteen Hole at Holiday Island Country Club,Holiday Island,Arkansas,1 Country Club Dr,72631,-93.7300848,36.4659223,18,Private,year round,1,12,70,6159,116,68.30,70,5922,115,68.20,73,5188,121,70.00,(501) 253-9511,John Allen,1970,Reciprocal,"VISA, MasterCard, Discover Welcomed",No,Yes,Yes,No,$,$,Yes,Yes
680,Hope Country Club,Hope,Arkansas,3605 Patmos Rd,71801,-93.5793121,33.6314237,18,Private,year round,1,12,71,6035,122,69.00,71,5621,122,67.10,71,4725,118,67.20,(870) 777-8182,,,Reciprocal,None,Yes,Yes,Yes,No,$,$,Yes,Yes
683,Arlington at Hot Springs Golf & Country Club,Hot Springs,Arkansas,101 Country Club Dr,71901,-93.0312687,34.480055,18,Semi-Private,year round,1,12,72,6690,127,74.20,72,6517,126,73.10,73,5549,127,74.20,(501) 624-2661,William Diddel,1932,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$$,$$,Yes,Included in fee
684,Majestic at Hot Springs Golf & Country Club,Hot Springs,Arkansas,101 Country Club Dr,71901,-93.0312687,34.480055,18,Semi-Private,year round,1,12,72,6761,120,71.50,72,6329,115,69.10,72,5519,121,71.10,(501) 624-2661,"Willie Park, Jr.",1920,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$$,$$,Yes,Included in fee
686,Diamondhead Golf Club,Hot Springs,Arkansas,7200 Diamond Head,71913,-92.96262259999999,34.4434499,18,Semi-Private,year round,1,12,72,6547,124,73.90,72,6172,120,70.90,72,5413,128,76.30,(501) 262-3734,Norman Henderson,1972,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
689,Belvedere Country Club,Hot Springs National Park,Arkansas,385 Belvedere Dr,71901,-93.009407,34.5451318,18,Semi-Private,year round,1,12,72,6767,130,73.10,72,6204,126,70.10,72,5395,127,70.50,(501) 623-2305,Herman Hackbarth,1949,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$$,$$,Yes,Included in fee
691,DeSoto at Hot Springs Village,Hot Springs Village,Arkansas,895 Desoto Blvd,71909,-92.97047300000001,34.6709268,18,Private,year round,1,12,72,6733,130,73.40,72,6392,127,71.80,73,5652,127,73.30,(501) 922-5533,Ed Ault,1972,Closed,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
692,Balboa at Hot Springs Village,Hot Springs Village,Arkansas,895 Desoto Blvd,71909,-92.97047300000001,34.6709268,18,Private,year round,1,12,72,6725,133,72.70,72,6307,131,70.80,73,5362,130,71.80,(501) 922-5533,"Ault, Clark & Associates",1987,Closed,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
693,Cortez at Hot Springs Village,Hot Springs Village,Arkansas,895 Desoto Blvd,71909,-92.97047300000001,34.6709268,18,Private,year round,1,12,72,6610,132,72.10,72,6270,129,70.50,73,5473,128,72.00,(501) 922-5533,Ed Ault,1977,Closed,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
695,Magellan at Hot Springs Village,Hot Springs Village,Arkansas,895 Desoto Blvd,71909,-92.97047300000001,34.6709268,18,Private,year round,1,12,72,6494,123,70.90,72,5982,118,68.70,72,4877,120,68.50,(501) 922-5533,"Ault, Clark & Associates",1996,Closed,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
696,Diamante Golf Course,Hot Springs Village,Arkansas,2000 Country Club Dr,71909,-92.86693729999999,34.6438105,18,Private,year round,1,12,72,7560,143,76.90,72,6935,135,73.90,72,5322,131,73.70,(501) 922-4191,Tom Clark,1995,Reciprocal,"VISA, MasterCard, Amex Welcomed",Yes,Yes,Yes,No,$,$$,Yes,Yes
697,Ponce de Leon at Hot Springs Village,Hot Springs Village,Arkansas,895 Desoto Blvd,71909,-92.97047300000001,34.6709268,18,Private,year round,1,12,72,6946,134,73.90,72,6436,130,71.60,72,5273,125,72.00,(501) 922-5533,Tom Clark,1991,Closed,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
700,Foxwood Country Club,Jacksonville,Arkansas,701 Foxwood Dr,72076,-92.08189540000001,34.8929784,18,Semi-Private,year round,1,12,72,6413,110,69.80,72,6080,107,68.30,72,5225,111,69.20,(501) 982-1254,,1971,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,No,Yes,Yes,$,$,Yes,Yes
701,Deer Run Golf Course,Jacksonville,Arkansas,Building 1075,72099,-92.1101458,34.8662005,18,Military,year round,1,12,72,6834,123,71.80,72,6377,119,70.00,72,5727,118,72.60,(501) 987-6825,,1964,Closed,"VISA, MasterCard Welcomed",Yes,Yes,No,No,$,$,Yes,Yes
703,RidgePointe Country Club,Jonesboro,Arkansas,2510 RidgePointe Dr,72404,-90.76895400000001,35.8118266,18,Private,year round,1,12,72,6539,132,72.40,72,6125,129,70.40,73,5167,130,71.60,(870) 931-4114,Dave Bennett,1995,Reciprocal,None,Yes,No,Yes,No,$,$,Yes,Yes
705,Sage Meadows Golf Course,Jonesboro,Arkansas,4406 Club House Dr,72401,-90.6380125,35.8862093,18,Semi-Private,year round,1,12,72,6901,129,72.50,72,6396,126,70.60,72,4947,119,69.20,(870) 932-4420,Kevin Tucker,1998,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Included in fee
707,Jonesboro Country Club,Jonesboro,Arkansas,1408 E Nettleton,72401,-90.69064949999999,35.8290879,18,Private,year round,1,12,71,6060,114,68.50,71,5689,112,67.20,71,5024,119,71.30,(870) 932-2410,Bill Martin,1935,Closed,None,Yes,No,Yes,No,$,$$,Yes,Yes
709,Championship at Rebsamen Park Golf Course,Little Rock,Arkansas,3400 Rebsamen Park Rd,72202,-92.3214656,34.7822204,18,Public,year round,1,12,72,7033,129,72.10,72,6426,122,69.20,72,4784,105,65.80,(501) 666-7965,,1959,Open,"VISA, MasterCard Welcomed",Yes,Yes,Yes,Yes,$,$,Yes,Yes
710,Chenal Country Club,Little Rock,Arkansas,10 Chenal Club Blvd,72223,-92.4749429,34.7804348,18,Private,year round,1,12,72,7149,144,75.10,72,6631,136,72.60,72,5157,125,72.40,(501) 821-4141,"Robert Trent Jones, Jr.",1990,Closed,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$$,$$$,Yes,Yes
711,Country Club of Little Rock,Little Rock,Arkansas,4200 Country Club Blvd,72207,-92.3194932,34.7738684,18,Private,year round,1,12,70,6454,129,71.40,70,6180,127,70.20,74,5683,130,72.70,(501) 663-4189,Herman Hackbarth,1910,Closed,None,Yes,No,Yes,No,$,$,No,Yes
713,Little Rock's Hindman Park Golf Course,Little Rock,Arkansas,60 Brookview Dr,72209,-92.36062299999999,34.696144,18,Public,year round,1,12,72,6805,124,71.90,72,6443,109,68.90,72,4690,121,68.60,(501) 565-6450,Leon Howard,1967,Open,"VISA, MasterCard Welcomed",No,Yes,No,No,$,$,Yes,Yes
714,North Hills Country Club,Little Rock,Arkansas,7400 Hwy 107,72120,-92.23068289999999,34.8218437,18,Private,year round,1,12,71,6438,132,71.50,71,6048,127,69.60,72,5201,129,71.80,(501) 835-4959,,,Reciprocal,None,Yes,Yes,Yes,No,$,$,Yes,Yes
715,Regulation at Pleasant Valley Country Club,Little Rock,Arkansas,1 Pleasant Valley Dr,72212,-92.40868800000001,34.777107,18,Private,year round,1,12,72,7060,134,73.80,72,6368,128,70.70,74,5544,129,72.80,(501) 225-2234,Joe Finger,1969,Reciprocal,None,Yes,Yes,Yes,No,$,$$,Yes,Yes
720,Lakeview Golf & Country Club,Mabelvale,Arkansas,8500 Castle Valley Rd,72103,-92.3716262,34.6365123,18,Public,year round,1,12,71,5787,100,65.90,71,5526,100,65.90,71,4768,121,72.50,(501) 562-1814,,1972,Open,"VISA, MasterCard Welcomed",Yes,Yes,No,No,$,$,Yes,Yes
723,Magnolia Country Club,Magnolia,Arkansas,1711 Hwy 79 S,71753,-93.239334,33.2670725,18,Private,year round,1,12,72,6752,123,71.00,72,6378,115,66.90,72,5422,118,70.10,(870) 234-2125,Herman Hackbarth,1953,Reciprocal,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,No,Yes
727,Marion Lakes Golf & Athletic Club,Marion,Arkansas,303 Club Circle,72364,-90.2047577,35.1957319,18,Private,year round,1,12,72,6700,130,73.00,72,6091,123,69.70,72,4386,116,68.70,(870) 739-6305,Lyndy Lindsey,1997,Reciprocal,"VISA, MasterCard, Amex, Discover Welcomed",Yes,No,No,No,$,$,Yes,No
729,"Country Club of Arkansas, The",Maumelle,Arkansas,2 Country Club Ln,72113,-92.39772699999999,34.842518,18,Semi-Private,year round,1,12,72,6458,128,71.60,72,5946,123,69.30,72,4857,114,64.70,(501) 851-0095,Bobby Miller,1996,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,No,No,$,$,Yes,Included in fee
730,Maumelle Country Club,Maumelle,Arkansas,100 Club Manor Dr,72113,-92.4130079,34.8431141,18,Private,year round,1,12,72,7414,132,75.40,72,7151,130,74.20,72,5454,125,71.60,(501) 851-3700,Ed Ault,1969,Reciprocal,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
736,Twin Lakes Golf Club,Mountain Home,Arkansas,70 Elk Way,72653,-92.3557781,36.3525447,18,Semi-Private,year round,1,12,70,5910,117,69.40,70,5669,115,68.00,70,5018,109,64.70,(870) 425-2028,Cecil B. Hollingsworth,1957,Open,"VISA, MasterCard, Discover Welcomed",No,Yes,No,No,$,$,Yes,Yes
741,Newport Country Club,Newport,Arkansas,703 Walker Dr,72112,-91.269229,35.599046,18,Private,year round,1,12,70,5769,99,66.20,70,5169,96,64.90,70,4349,100,66.60,(870) 523-8904,Ed Ault,1963,Reciprocal,"VISA, MasterCard, Discover Welcomed",No,Yes,No,No,$,$,Yes,Yes
745,Championship at Burns Park Golf Course,North Little Rock,Arkansas,Burns Park,72118,-92.3099177,34.7976957,18,Public,year round,1,12,71,6352,116,69.70,71,5830,112,67.70,71,5034,120,70.50,(501) 758-5800,Joe Finger,1961,Open,"VISA, MasterCard, Amex Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
747,Stone Links G.C.,North Little Rock,Arkansas,110 Hwy 391No,72117,-92.12136000000001,34.747544,18,Public,year round,1,12,72,7035,119,72.40,72,6699,117,71.20,72,5118,120,70.30,(501) 945-0945,Steve Holden,1993,Open,"VISA, MasterCard Welcomed",Yes,Yes,No,No,$,$,Yes,Included in fee
753,Harbor Oaks Golf Club,Pine Bluff,Arkansas,1 Harbor Oaks Dr,71601,-91.9869293,34.2525214,18,Public,year round,1,12,72,7010,125,72.70,72,6503,121,70.40,72,5249,122,70.20,(870) 541-9010,Leon Howard,1995,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
755,Pine Bluff Country Club,Pine Bluff,Arkansas,1100 Country Club Ln,71603,-92.0133196,34.1834795,18,Private,year round,1,12,71,6649,120,71.60,71,6303,117,70.00,71,5250,117,70.30,(870) 535-3180,Herman Hackbarth,1936,Reciprocal,None,Yes,Yes,Yes,No,$,$,No,Yes
756,Rosswood Country Club,Pine Bluff,Arkansas,7619 Rosswood Rd,71603,-92.011453,34.146038,18,Private,year round,1,12,72,6908,118,72.00,72,6600,116,70.60,73,5292,116,70.30,(870) 535-4100,Alfred H. Tull,1961,Reciprocal,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
760,Lost Springs Golf & Athletic Club,Rogers,Arkansas,3024 N 22nd St,72756,-94.1483839,36.3621849,18,Private,year round,1,12,72,6849,131,72.50,72,6196,126,70.20,72,4388,118,62.30,(501) 631-9988,Lindy Lindsey,1992,Closed,"VISA, MasterCard Welcomed",Yes,No,Yes,No,,,Yes,Included in fee
761,Pinnacle Country Club,Rogers,Arkansas,3 Clubhouse Dr,72758,-94.19882310000001,36.2969715,18,Private,year round,1,12,71,6745,139,73.30,71,6102,132,70.40,71,4949,131,71.80,(501) 273-0555,Donald Sechrest,1990,Closed,"VISA, MasterCard Welcomed",Yes,Yes,Yes,No,$$$,$$$,Yes,Included in fee
764,Searcy Country Club,Searcy,Arkansas,Country Club Rd,72143,-91.77556419999999,35.2411492,18,Private,year round,1,12,71,6423,118,69.10,71,5701,112,66.00,71,4920,114,69.20,(501) 268-8577,,1961,Reciprocal,None,Yes,No,Yes,No,$,$,No,Yes
765,"Course at River Oaks, The",Searcy,Arkansas,1 Golf Course Dr,72143,-91.6996309,35.25819690000001,18,Private,year round,1,12,71,6159,116,69.80,71,5860,113,68.40,71,4987,106,64.40,(501) 279-4653,John Floyd,1993,Reciprocal,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
768,Dawn Hill Golf & Racquet Club,Siloam Springs,Arkansas,Dawn Hill Rd,72761,-94.5406235,36.2070048,18,Resort,year round,1,12,72,6852,114,71.30,72,6522,111,69.80,73,5330,110,69.10,(800) 423-3786,Virgil Brookshire,1968,Open,"VISA, MasterCard, Amex, Discover Welcomed",Yes,Yes,Yes,No,$,$,Yes,Yes
769,Siloam Springs Country Club,Siloam Springs,Arkansas,801 N Country Club Rd,72761,-94.52248929999999,36.1917498,9,Semi-Private,year round,1,12,35,2927,118,33.40,35,2802,117,33.00,37,2452,112,31.40,(501) 524-4269,Wilson Ford,1963,Open,"VISA, MasterCard, Discover Welcomed",Yes,Yes,No,No,$,$,Yes,Yes
773,Springdale Country Club,Springdale,Arkansas,4705 S Thompson,72764,-94.1441924,36.1417872,18,Private,year round,1,12,72,6673,119,72.10,72,6168,114,69.80,72,5062,105,69.40,(501) 751-5185,,1927,Reciprocal,None,Yes,No,Yes,No,$,$,No,Yes
776,South Haven Golf Club,Texarkana,Arkansas,Route 10,71854,-94.0141426,33.4444053,18,Public,year round,1,12,71,6227,123,69.30,71,5872,122,69.20,71,4951,117,69.80,(870) 774-5771,John Rickman,1921,Open,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$,No,Yes
783,Meadowbrook Country Club,West Memphis,Arkansas,1250 W Broadway,72301,-90.21097189999999,35.1436246,18,Private,year round,1,12,71,6522,115,70.60,71,5906,112,69.30,71,5327,113,69.60,(870) 735-6767,Joe Finger,1960,Closed,None,Yes,Yes,Yes,No,$,$,Yes,Yes
3962,Oak Meadows Golf Course,Addison,Illinois,900 N Wood Dale Rd,60101,-87.98280319999999,41.9466239,18,Public,Open: 4/01 Closed: 12/01,4,11,71,6718,126,72.10,71,6376,122,70.60,73,5954,119,68.40,(630) 595-0071,,1919,Open,None,Yes,Yes,Yes,Yes,$,$,Yes,Yes
3966,Golf Club of Illinois,Algonquin,Illinois,1575 Edgewood Rd,60102,-88.3177429,42.15721240000001,18,Public,Open: 3/01 Closed: 11/30,3,11,71,6958,130,73.10,71,6511,124,71.10,71,4870,111,67.80,(847) 658-4400,Dick Nugent,1985,Open,"VISA, MasterCard, Discover Welcomed",Yes,Yes,Yes,No,$,$$,Yes,Included in fee
3971,"Woodlands Golf Club, The",Alton,Illinois,2839 Harris Ln,62002,-90.1355627,38.9310357,18,Public,year round,1,12,71,6401,123,71.00,71,6021,117,68.90,71,4775,111,68.00,(618) 462-1456,Terry & Bruce Hansen,1994,Open,"VISA, MasterCard, Amex Welcomed",Yes,Yes,Yes,Yes,$,$,Yes,Yes
3973,Lockhaven Country Club,Alton,Illinois,Lockhaven Rd,62002,-90.2990133,38.94634629999999,18,Private,year round,1,12,72,6992,129,71.70,72,6421,126,70.90,72,5500,121,66.70,(618) 466-2441,Robert B. Harris,1955,Closed,None,Yes,Yes,Yes,No,$,$,Yes,Yes
